Model,Estimated ATE,ATE Error,PEHE
CausalForestDML,3.987797158309869,0.019751170318894395,0.5847434858461161
DML_Lasso,3.8875837158675766,0.11996461276118664,0.8760904413595959
LinearDML_GB,3.652057784893232,0.35549054373553135,0.9629480260150975
LinearDML_RF,3.804961607206406,0.20258672142235712,0.9825494072600766
