Metric,Value
True ATE,3.9969807503322077
Naive ATE,4.118284110818868
Regression ATE,3.955822672247323
DML ATE,3.9669885131959175
Naive ATE Error,0.12130336048666024
Regression ATE Error,0.041158078084884586
DML ATE Error,0.02999223713629018
DML PEHE,0.746552783267592
